AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PaintedMetal018,2K-PNG,zip,66144194,https://ambientCG.com/get?file=PaintedMetal018_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal018_pw2st3qo/PaintedMetal018_2K-PNG.zip
PaintedMetal018,4K-JPG,zip,123305922,https://ambientCG.com/get?file=PaintedMetal018_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal018_pw2st3qo/PaintedMetal018_4K-JPG.zip
PaintedMetal018,4K-PNG,zip,261446466,https://ambientCG.com/get?file=PaintedMetal018_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal018_pw2st3qo/PaintedMetal018_4K-PNG.zip
PaintedMetal018,8K-JPG,zip,524909634,https://ambientCG.com/get?file=PaintedMetal018_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal018_pw2st3qo/PaintedMetal018_8K-JPG.zip
PaintedMetal018,8K-PNG,zip,1048067202,https://ambientCG.com/get?file=PaintedMetal018_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal018_pw2st3qo/PaintedMetal018_8K-PNG.zip
Asphalt011,1K-JPG,zip,7011375,https://ambientCG.com/get?file=Asphalt011_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_1K-JPG.zip
Asphalt011,1K-PNG,zip,16067567,https://ambientCG.com/get?file=Asphalt011_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_1K-PNG.zip
Asphalt011,2K-JPG,zip,29727663,https://ambientCG.com/get?file=Asphalt011_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_2K-JPG.zip
Asphalt011,2K-PNG,zip,65715887,https://ambientCG.com/get?file=Asphalt011_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_2K-PNG.zip
Asphalt011,4K-JPG,zip,124633519,https://ambientCG.com/get?file=Asphalt011_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_4K-JPG.zip
Asphalt011,4K-PNG,zip,267757551,https://ambientCG.com/get?file=Asphalt011_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Asphalt011_n0bkph94/Asphalt011_4K-PNG.zip
SurfaceImperfections007,1K-JPG,zip,2032138,https://ambientCG.com/get?file=SurfaceImperfections007_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_1K-JPG.zip
SurfaceImperfections007,1K-PNG,zip,9360778,https://ambientCG.com/get?file=SurfaceImperfections007_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_1K-PNG.zip
SurfaceImperfections007,2K-JPG,zip,6378506,https://ambientCG.com/get?file=SurfaceImperfections007_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_2K-JPG.zip
SurfaceImperfections007,2K-PNG,zip,32545674,https://ambientCG.com/get?file=SurfaceImperfections007_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_2K-PNG.zip
SurfaceImperfections007,4K-JPG,zip,22545290,https://ambientCG.com/get?file=SurfaceImperfections007_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_4K-JPG.zip
SurfaceImperfections007,4K-PNG,zip,37431306,https://ambientCG.com/get?file=SurfaceImperfections007_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/SurfaceImperfections007_foswzpmi/SurfaceImperfections007_4K-PNG.zip
LeafSet010,1K-JPG,zip,2579821,https://ambientCG.com/get?file=LeafSet010_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/LeafSet010_u9epmfcw/LeafSet010_1K-JPG.zip
